code,name,regioFacet,level,url
0425,Naarden,tcm:106-353663-1024,4,/regioinformatie/gemeente/naarden/
0431,Oostzaan,tcm:106-353664-1024,4,/regioinformatie/gemeente/oostzaan/
0432,Opmeer,tcm:106-353665-1024,4,/regioinformatie/gemeente/opmeer/
0437,Ouder-Amstel,tcm:106-353666-1024,4,/regioinformatie/gemeente/ouder-amstel/
0439,Purmerend,tcm:106-353667-1024,4,/regioinformatie/gemeente/purmerend/
0441,Schagen,tcm:106-353668-1024,4,/regioinformatie/gemeente/schagen/
0532,Stede Broec,tcm:106-353670-1024,4,/regioinformatie/gemeente/stede-broec/
0448,Texel,tcm:106-353671-1024,4,/regioinformatie/gemeente/texel/
0450,Uitgeest,tcm:106-353672-1024,4,/regioinformatie/gemeente/uitgeest/
0451,Uithoorn,tcm:106-353673-1024,4,/regioinformatie/gemeente/uithoorn/
0453,Velsen,tcm:106-353674-1024,4,/regioinformatie/gemeente/velsen/
0852,Waterland,tcm:106-353675-1024,4,/regioinformatie/gemeente/waterland/
0457,Weesp,tcm:106-353676-1024,4,/regioinformatie/gemeente/weesp/
1696,Wijdemeren,tcm:106-353677-1024,4,/regioinformatie/gemeente/wijdemeren/
0880,Wormerland,tcm:106-353678-1024,4,/regioinformatie/gemeente/wormerland/
0479,Zaanstad,tcm:106-353679-1024,4,/regioinformatie/gemeente/zaanstad/
0473,Zandvoort,tcm:106-353680-1024,4,/regioinformatie/gemeente/zandvoort/
0478,Zeevang,tcm:106-353681-1024,4,/regioinformatie/gemeente/zeevang/
0141,Almelo,tcm:106-353683-1024,4,/regioinformatie/gemeente/almelo/
0147,Borne,tcm:106-353684-1024,4,/regioinformatie/gemeente/borne/
0148,Dalfsen,tcm:106-353685-1024,4,/regioinformatie/gemeente/dalfsen/
0150,Deventer,tcm:106-353686-1024,4,/regioinformatie/gemeente/deventer/
1774,Dinkelland,tcm:106-353687-1024,4,/regioinformatie/gemeente/dinkelland/
0153,Enschede,tcm:106-353688-1024,4,/regioinformatie/gemeente/enschede/
0158,Haaksbergen,tcm:106-353689-1024,4,/regioinformatie/gemeente/haaksbergen/
0160,Hardenberg,tcm:106-353690-1024,4,/regioinformatie/gemeente/hardenberg/
0163,Hellendoorn,tcm:106-353691-1024,4,/regioinformatie/gemeente/hellendoorn/
0164,Hengelo (O),tcm:106-353692-1024,4,/regioinformatie/gemeente/hengelo-ov/
1735,Hof van Twente,tcm:106-353693-1024,4,/regioinformatie/gemeente/hof-van-twente/
0166,Kampen,tcm:106-353694-1024,4,/regioinformatie/gemeente/kampen/
0168,Losser,tcm:106-353695-1024,4,/regioinformatie/gemeente/losser/
0173,Oldenzaal,tcm:106-353696-1024,4,/regioinformatie/gemeente/oldenzaal/
1773,Olst-Wijhe,tcm:106-353697-1024,4,/regioinformatie/gemeente/olst-wijhe/
0175,Ommen,tcm:106-353698-1024,4,/regioinformatie/gemeente/ommen/
